#bin	frequency	peak0	peak1	peak2	peak3	peak4	peak5
0.02000	1.85188473077e-19	1.8518847162e-19	1.45700321341e-27	2.33751864881e-76	1.11764949303e-148	1.43336212019e-248	0.0
0.02050	2.03726810493e-19	2.03726808937e-19	1.55550328178e-27	2.6001527424e-76	1.29543994512e-148	1.73392310782e-248	0.0
0.02100	2.24100326365e-19	2.24100324705e-19	1.66060996138e-27	2.89220399765e-76	1.50146505334e-148	2.0974423405e-248	0.0
0.02150	2.46488612329e-19	2.46488610556e-19	1.77276280382e-27	3.2169570923e-76	1.74020117409e-148	2.53709372977e-248	0.0
0.02200	2.71088627343e-19	2.71088625451e-19	1.89243036408e-27	3.57806231193e-76	2.01683315046e-148	3.06880489463e-248	0.0
0.02250	2.9811635669e-19	2.9811635467e-19	2.02011209815e-27	3.97957611561e-76	2.3373662561e-148	3.7118321519e-248	0.0
0.02300	3.2780862744e-19	3.27808625284e-19	2.15634038372e-27	4.42600618786e-76	2.70875579656e-148	4.48945544042e-248	0.0
0.02350	3.60425094962e-19	3.6042509266e-19	2.30168267188e-27	4.92236147181e-76	3.1390571484e-148	5.42981816891e-248	0.0
0.02400	3.96250416362e-19	3.96250413905e-19	2.45674377824e-27	5.47420773236e-76	3.63759945369e-148	6.56694217817e-248	0.0
0.02450	4.35596628231e-19	4.35596625609e-19	2.62216832243e-27	6.08772925854e-76	4.21518669293e-148	7.9419542918e-248	0.0
0.02500	4.78805747638e-19	4.78805744839e-19	2.79864332542e-27	6.76979738136e-76	4.88433044448e-148	9.60456851767e-248	0.0
0.02550	5.26252617057e-19	5.2625261407e-19	2.98690097498e-27	7.52804655741e-76	5.65951931539e-148	1.16148771292e-247	0.0
0.02600	5.78348015805e-19	5.78348012617e-19	3.18772156979e-27	8.37095885091e-76	6.55753081126e-148	1.40455149258e-247	0.0
0.02650	6.35542062623e-19	6.35542059221e-19	3.40193665389e-27	9.30795773833e-76	7.59779231835e-148	1.69842743427e-247	0.0
0.02700	6.98327936284e-19	6.98327932653e-19	3.63043235353e-27	1.0349512261e-75	8.80279891878e-148	2.05372652302e-247	0.0
0.02750	7.67245943551e-19	7.67245939677e-19	3.87415292943e-27	1.15072526633e-75	1.01985969711e-147	2.48327326212e-247	0.0
0.02800	8.42887966488e-19	8.42887962354e-19	4.1341045581e-27	1.27940987796e-75	1.18153437904e-147	3.00256693631e-247	0.0
0.02850	9.25902324016e-19	9.25902319605e-19	4.41135935713e-27	1.42244025695e-75	1.36879553821e-147	3.63033889247e-247	0.0
0.02900	1.0169990858e-18	1.01699908109e-18	4.70705966978e-27	1.58141063572e-75	1.58568560602e-147	4.3892258041e-247	0.0
0.02950	1.11695587995e-18	1.11695587492e-18	5.02242262552e-27	1.75809184987e-75	1.83688459471e-147	5.30658303252e-247	0.0
0.03000	1.22662423986e-18	1.2266242345e-18	5.35874499418e-27	1.9544508389e-75	2.12781048613e-147	6.41546720586e-247	0.0
0.03050	1.34693653954e-18	1.34693653382e-18	5.71740835241e-27	2.17267229342e-75	2.46473539975e-147	7.7558231837e-247	0.0
0.03100	1.4789135712e-18	1.4789135651e-18	6.09988458234e-27	2.41518268407e-75	2.85492001608e-147	9.37591787569e-247	0.0
0.03150	1.62367282386e-18	1.62367281736e-18	6.50774172359e-27	2.68467693356e-75	3.3067691191e-147	1.13340721979e-246	0.0
0.03200	1.78243752696e-18	1.78243752001e-18	6.94265020126e-27	2.9841480214e-75	3.83001156999e-147	1.37007530931e-246	0.0
0.03250	1.9565465285e-18	1.9565465211e-18	7.40638945362e-27	3.316919843e-75	4.43590854314e-147	1.65611003897e-246	0.0
