# time	signal	one_signal	two_signal
-1.999993722116083119e-06 1.655999571084976196e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.997993722172646981e-06 1.728001981973648071e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.995993722229210844e-06 1.512002199888229370e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.993993722285774707e-06 1.476000994443893433e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.991993722342338570e-06 1.331999897956848145e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.989993722398902433e-06 1.152001321315765381e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.987993722455466296e-06 1.188002526760101318e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.985993722512030159e-06 8.640028536319732666e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.983993722568594022e-06 1.080002635717391968e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.981993722625157885e-06 1.224000006914138794e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.979993722681721748e-06 1.476000994443893433e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.977993722738285611e-06 1.260001212358474731e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.975993722794849474e-06 1.512002199888229370e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.973993722851413337e-06 1.439999788999557495e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.971993722907977200e-06 1.260001212358474731e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.969993722964541062e-06 1.080002635717391968e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.967993723021104925e-06 8.280016481876373291e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.965993723077668788e-06 6.120018661022186279e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.963993723134232651e-06 4.319995641708374023e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.961993723190796514e-06 2.520009875297546387e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.959993723247360377e-06 1.079998910427093506e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.957993723303924240e-06 -1.799985766410827637e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.955993723360488103e-06 -3.599971532821655273e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.953993723417051966e-06 -3.599971532821655273e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.951993723473615829e-06 -3.599971532821655273e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.949993723530179692e-06 -5.039982497692108154e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.947993723586743555e-06 -5.399994552135467529e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.945993723643307418e-06 -6.119981408119201660e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.943993723699871280e-06 -6.840005517005920410e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.941993723756435143e-06 -7.199980318546295166e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.939993723812999006e-06 -6.840005517005920410e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.937993723869562869e-06 -6.840005517005920410e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.935993723926126732e-06 -5.399994552135467529e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.933993723982690595e-06 -2.879984676837921143e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.931993724039254458e-06 -3.239996731281280518e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.929993724095818321e-06 -1.439973711967468262e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.927993724152382184e-06 -3.959983587265014648e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.925993724208946047e-06 -5.399994552135467529e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.923993724265509910e-06 -4.680007696151733398e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.921993724322073773e-06 -8.639991283416748047e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.919993724378637636e-06 -7.199980318546295166e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.917993724435201499e-06 -8.279979228973388672e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.915993724491765361e-06 -6.840005517005920410e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.913993724548329224e-06 -6.479993462562561035e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.911993724604893087e-06 -3.599971532821655273e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.909993724661456950e-06 -1.079998910427093506e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.907993724718020813e-06 1.800023019313812256e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.905993724774584676e-06 6.120018661022186279e-04 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.903993724831148539e-06 1.008000224828720093e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.901993724887712402e-06 1.260001212358474731e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.899993724944276265e-06 1.620002090930938721e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.897993725000840128e-06 1.584000885486602783e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.895993725057403991e-06 1.692000776529312134e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
-1.893993725113967854e-06 1.620002090930938721e-03 -2.638565507774186030e-05 -2.255699066103828852e-05
