#time	voltage
-1.66883936252e-06	2.09674691353e-05
-1.66683936258e-06	2.12040668469e-05
-1.66483936264e-06	2.16004504809e-05
-1.66283936269e-06	2.21315883532e-05
-1.66083936275e-06	2.27740816454e-05
-1.65883936281e-06	2.35061217937e-05
-1.65683936286e-06	2.43074478767e-05
-1.65483936292e-06	2.51593040041e-05
-1.65283936298e-06	2.60443967045e-05
-1.65083936303e-06	2.69468523141e-05
-1.64883936309e-06	2.78521743649e-05
-1.64683936315e-06	2.87472009729e-05
-1.6448393632e-06	2.96200622265e-05
-1.64283936326e-06	3.04601375746e-05
-1.64083936332e-06	3.12580132151e-05
-1.63883936337e-06	3.20054394832e-05
-1.63683936343e-06	3.26952882394e-05
-1.63483936349e-06	3.33215102582e-05
-1.63283936354e-06	3.3879092616e-05
-1.6308393636e-06	3.43640160796e-05
-1.62883936366e-06	3.47732124946e-05
-1.62683936371e-06	3.51045221734e-05
-1.62483936377e-06	3.53566512837e-05
-1.62283936383e-06	3.55291292368e-05
-1.62083936388e-06	3.56222660756e-05
-1.61883936394e-06	3.56371098633e-05
-1.61683936399e-06	3.55754040715e-05
-1.61483936405e-06	3.54395449684e-05
-1.61283936411e-06	3.52325390072e-05
-1.61083936416e-06	3.49579602144e-05
-1.60883936422e-06	3.46199075782e-05
-1.60683936428e-06	3.42229624363e-05
-1.60483936433e-06	3.37721458649e-05
-1.60283936439e-06	3.32728760664e-05
-1.60083936445e-06	3.2730925758e-05
-1.5988393645e-06	3.215237956e-05
-1.59683936456e-06	3.15435913838e-05
-1.59483936462e-06	3.09111418205e-05
-1.59283936467e-06	3.02617955292e-05
-1.59083936473e-06	2.9602458625e-05
-1.58883936479e-06	2.89401360675e-05
-1.58683936484e-06	2.82818890491e-05
-1.5848393649e-06	2.76347923832e-05
-1.58283936496e-06	2.70058918926e-05
-1.58083936501e-06	2.64021617977e-05
-1.57883936507e-06	2.58304621046e-05
-1.57683936513e-06	2.5297495994e-05
-1.57483936518e-06	2.48097672088e-05
-1.57283936524e-06	2.43735374427e-05
-1.5708393653e-06	2.39947837287e-05
-1.56883936535e-06	2.36791557241e-05
-1.56683936541e-06	2.38980193584e-05
-1.56483936547e-06	2.41912851172e-05
-1.56283936552e-06	2.45997252979e-05
-1.56083936558e-06	2.50999407569e-05
-1.55883936564e-06	2.57524562955e-05
-1.55683936569e-06	2.64211362987e-05
-1.55483936575e-06	2.71986995744e-05
-1.5528393658e-06	2.8049083679e-05
-1.55083936586e-06	2.89556055368e-05
-1.54883936592e-06	2.98737625809e-05
-1.54683936597e-06	3.09090080134e-05
-1.54483936603e-06	3.19316730919e-05
-1.54283936609e-06	3.30199433041e-05
-1.54083936614e-06	3.4033555786e-05
-1.5388393662e-06	3.50785645854e-05
-1.53683936626e-06	3.59692896619e-05
-1.53483936631e-06	3.68195130774e-05
-1.53283936637e-06	3.74952251617e-05
-1.53083936643e-06	3.80885270017e-05
-1.52883936648e-06	3.8489207524e-05
-1.52683936654e-06	3.8808510966e-05
-1.5248393666e-06	3.89641596966e-05
-1.52283936665e-06	3.90683672631e-05
-1.52083936671e-06	3.90223670795e-05
-1.51883936677e-06	3.89286865879e-05
-1.51683936682e-06	3.86689438448e-05
-1.51483936688e-06	3.84285020307e-05
-1.51283936694e-06	3.80344684529e-05
-1.51083936699e-06	3.75771193522e-05
-1.50883936705e-06	3.69717441228e-05
-1.50683936711e-06	3.62857167831e-05
-1.50483936716e-06	3.54778772304e-05
-1.50283936722e-06	3.47060334965e-05
-1.50083936728e-06	3.37612473358e-05
-1.49883936733e-06	3.28569122559e-05
-1.49683936739e-06	3.19255946408e-05
-1.49483936745e-06	3.10987414053e-05
-1.4928393675e-06	3.02974606136e-05
-1.49083936756e-06	2.95931885772e-05
-1.48883936761e-06	2.88674371997e-05
-1.48683936767e-06	2.81943462471e-05
-1.48483936773e-06	2.74808068036e-05
-1.48283936778e-06	2.6791769942e-05
-1.48083936784e-06	2.60738914565e-05
-1.4788393679e-06	2.53223048192e-05
-1.47683936795e-06	2.44789160638e-05
-1.47483936801e-06	2.36802678411e-05
-1.47283936807e-06	2.28734391934e-05
-1.47083936812e-06	2.19974854584e-05
-1.46883936818e-06	2.1031516613e-05
-1.46683936824e-06	2.00551308987e-05
-1.46483936829e-06	1.89259972515e-05
-1.46283936835e-06	1.77843404519e-05
-1.46083936841e-06	1.65047945545e-05
-1.45883936846e-06	1.51282656179e-05
-1.45683936852e-06	1.35893643262e-05
-1.45483936858e-06	1.19712528586e-05
-1.45283936863e-06	1.03092432008e-05
-1.45083936869e-06	8.67925185134e-06
-1.44883936875e-06	7.02511894771e-06
-1.4468393688e-06	5.49865668199e-06
-1.44483936886e-06	4.08864986303e-06
-1.44283936892e-06	2.88694110892e-06
-1.44083936897e-06	1.93648619896e-06
-1.43883936903e-06	1.24897737636e-06
-1.43683936909e-06	7.06052299546e-07
-1.43483936914e-06	4.5945097184e-07
-1.4328393692e-06	4.43261647039e-07
-1.43083936926e-06	6.76723994677e-07
-1.42883936931e-06	1.02298175638e-06
-1.42683936937e-06	1.54599662482e-06
-1.42483936942e-06	2.1536288306e-06
-1.42283936948e-06	2.99155600901e-06
-1.42083936954e-06	3.91971472522e-06
-1.41883936959e-06	5.00068886626e-06
-1.41683936965e-06	6.1017330954e-06
-1.41483936971e-06	7.26454236487e-06
-1.41283936976e-06	8.47767417624e-06
-1.41083936982e-06	9.75113554623e-06
-1.40883936988e-06	1.10192297762e-05
-1.40683936993e-06	1.22509126256e-05
-1.40483936999e-06	1.34079550746e-05
-1.40283937005e-06	1.45567366052e-05
-1.4008393701e-06	1.55684576571e-05
-1.39883937016e-06	1.65671221181e-05
-1.39683937022e-06	1.73890863292e-05
-1.39483937027e-06	1.81019555128e-05
-1.39283937033e-06	1.87275018922e-05
