# one_x_offset	two_x_offset	two_amplitude	one_amplitude
-4.036066290145540269e-06 -1.370066365545169551e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.558065204993509449e-06 -5.440652336713879534e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.096057046571367646e-06 -2.036057104832146461e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.338063999417014459e-06 -7.960640713096842386e-07 1.000000000000000000e+00 1.000000000000000000e+00
-9.699777194307416565e-07 -8.935794157714403196e-07 1.407289144983731033e+00 5.208748493030798121e-01
-3.660060524606260722e-06 -2.560606208779554239e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.824061731766544722e-06 2.915938134177100141e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.977438373230195264e-06 -2.227262810371116292e-06 8.474946420958616722e-01 8.717174802470168959e-01
1.708220563024754283e-06 1.912530940775808391e-06 5.836629641832331572e-01 1.263446628638792646e+00
-5.000040023494850632e-06 3.357574840630165668e-07 1.463845995896120078e+00 6.675480745066307842e-01
-5.108601282430131679e-07 3.574523795937514235e-07 8.786774362371574387e-01 9.780758049323370340e-01
-5.000062483192467228e-06 2.639653099190358500e-06 1.094392804691098675e+00 1.091336862437980892e+00
-4.522058189757921829e-06 -1.996058261198080706e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.116061117608960779e-06 -1.810061154545163270e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.678062806284569312e-06 -3.240062846953986756e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.304062816862011679e-06 7.119370412758201005e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.128064639537411486e-06 1.021935299656435868e-06 1.000000000000000000e+00 1.000000000000000000e+00
2.496039498612869664e-07 1.271758369490037478e-06 8.199159678719259992e-01 1.003286481570990096e+00
-1.890062885134594232e-06 2.185936999588253123e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.824023824032341585e-06 -3.367911370658591337e-06 8.923417650552902813e-01 1.133232812854882310e+00
-6.257887380313358999e-07 9.968292774123182060e-07 8.949819356791617331e-01 1.057989759586996925e+00
-7.760640718753228679e-07 2.467935836378091465e-06 1.000000000000000000e+00 1.000000000000000000e+00
