# one_x_offset	two_x_offset	two_amplitude	one_amplitude
-4.036066290145540269e-06 -1.370066365545169551e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.558065204993509449e-06 -5.440652336713879534e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.096057046571367646e-06 -2.036057104832146461e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.338063999417014459e-06 -7.960640713096842386e-07 1.000000000000000000e+00 1.000000000000000000e+00
-8.822725927135707344e-07 -9.548261786326082906e-07 8.548180476999653887e-01 1.081425593612935776e+00
-3.660060524606260722e-06 -2.560606208779554239e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.824061731766544722e-06 2.915938134177100141e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.982243951314400134e-06 -2.234452216740476459e-06 8.486408882308781321e-01 8.702758252354972912e-01
1.686611064210317627e-06 1.868827770214513579e-06 8.460226365116646496e-01 9.952296866536473052e-01
-4.999929919145001859e-06 3.350485353245631784e-07 1.460586363774631025e+00 6.761600832785634729e-01
-5.059025749690341901e-07 3.562099972390495594e-07 8.844906370214868918e-01 9.695350819010978283e-01
-4.999717936377687348e-06 2.645931025882969738e-06 1.088242961117321883e+00 1.103382104329586166e+00
-4.522058189757921829e-06 -1.996058261198080706e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.116061117608960779e-06 -1.810061154545163270e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.678062806284569312e-06 -3.240062846953986756e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.304062816862011679e-06 7.119370412758201005e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.128064639537411486e-06 1.021935299656435868e-06 1.000000000000000000e+00 1.000000000000000000e+00
2.523506145853772274e-07 1.277152824480711525e-06 8.232783575075930393e-01 1.013304179248825321e+00
-1.890062885134594232e-06 2.185936999588253123e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.822767860908049751e-06 -3.360824150377074729e-06 8.926321844996349952e-01 1.136424225155585166e+00
-6.247062657150205239e-07 9.962210616536201143e-07 8.991014755681927539e-01 1.058340144270357941e+00
-7.760640718753228679e-07 2.467935836378091465e-06 1.000000000000000000e+00 1.000000000000000000e+00
