# arrival_time_separation(ns)	counts
1.600000000000000000e+01 1.300000000000000000e+01
4.800000000000000000e+01 1.000000000000000000e+00
8.000000000000000000e+01 5.000000000000000000e+00
1.120000000000000000e+02 4.000000000000000000e+00
1.440000000000000000e+02 1.000000000000000000e+01
1.760000000000000000e+02 4.000000000000000000e+00
2.080000000000000000e+02 5.000000000000000000e+00
2.400000000000000000e+02 4.000000000000000000e+00
2.720000000000000000e+02 5.000000000000000000e+00
3.040000000000000000e+02 7.000000000000000000e+00
3.360000000000000000e+02 5.000000000000000000e+00
3.680000000000000000e+02 1.000000000000000000e+01
4.000000000000000000e+02 6.000000000000000000e+00
4.320000000000000000e+02 7.000000000000000000e+00
4.640000000000000000e+02 5.000000000000000000e+00
4.960000000000000000e+02 1.000000000000000000e+01
5.280000000000000000e+02 4.000000000000000000e+00
5.600000000000000000e+02 9.000000000000000000e+00
5.920000000000000000e+02 1.000000000000000000e+01
6.240000000000000000e+02 5.000000000000000000e+00
6.560000000000000000e+02 3.000000000000000000e+00
6.880000000000000000e+02 3.000000000000000000e+00
7.200000000000000000e+02 5.000000000000000000e+00
7.520000000000000000e+02 3.000000000000000000e+00
7.840000000000000000e+02 9.000000000000000000e+00
