#time	signal	Delta_sig
-2.16860386396e-06	0.0794319988339	1.35070446946
-2.16660386401e-06	0.0850027132065	1.34783223821
-2.16460386407e-06	0.090994006445	1.34530451731
-2.16260386413e-06	0.097345718468	1.34394345061
-2.16060386418e-06	0.101829605337	1.34137112106
-2.15860386424e-06	0.105346809383	1.34034330673
-2.1566038643e-06	0.106537406364	1.33899360728
-2.15460386435e-06	0.108645549873	1.34091965058
-2.15260386441e-06	0.106471877063	1.33943124048
-2.15060386447e-06	0.100316760572	1.34069005289
-2.14860386452e-06	0.0971927948943	1.34338983846
-2.14660386458e-06	0.092943742208	1.3475290129
-2.14460386464e-06	0.0903495342752	1.34918390301
-2.14260386469e-06	0.0880993999325	1.35174097637
-2.14060386475e-06	0.0853850381629	1.35180535748
-2.13860386481e-06	0.0847241897716	1.35322574958
-2.13660386486e-06	0.0837684157831	1.35397204608
-2.13460386492e-06	0.0818077559267	1.3549643726
-2.13260386498e-06	0.0831895075018	1.35555861061
-2.13060386503e-06	0.0837957283054	1.35738893099
-2.12860386509e-06	0.08345713431	1.35690731321
-2.12660386515e-06	0.0838285056719	1.35985481732
-2.1246038652e-06	0.0858547339945	1.35611852476
-2.12260386526e-06	0.0864336432931	1.35090738926
-2.12060386532e-06	0.0865701748773	1.34713352204
-2.11860386537e-06	0.084756955948	1.34276594559
-2.11660386543e-06	0.0833588250995	1.34306689312
-2.11460386549e-06	0.0877553161696	1.34390306098
-2.11260386554e-06	0.0925505358842	1.341776959
-2.1106038656e-06	0.0961059445016	1.33825746271
-2.10860386565e-06	0.0997979274291	1.33816148047
-2.10660386571e-06	0.101512841726	1.33954623967
-2.10460386577e-06	0.105581631867	1.34409035687
-2.10260386582e-06	0.106182413767	1.3476098618
-2.10060386588e-06	0.106439098679	1.34931937403
-2.09860386594e-06	0.102572340431	1.35411143315
-2.09660386599e-06	0.0967831731835	1.35770797209
-2.09460386605e-06	0.0918623571681	1.3609400274
-2.09260386611e-06	0.088711091684	1.36015428118
-2.09060386616e-06	0.0875532344301	1.35722625074
-2.08860386622e-06	0.0832932688406	1.35541911681
-2.08660386628e-06	0.0781157694387	1.35306200681
-2.08460386633e-06	0.0755707344222	1.34910227396
-2.08260386639e-06	0.0749645059891	1.34836089082
-2.08060386645e-06	0.0744893565033	1.34426101095
-2.0786038665e-06	0.0766411643416	1.34496956435
-2.07660386656e-06	0.0772747124181	1.34088661127
-2.07460386662e-06	0.0835772835691	1.34086141338
-2.07260386667e-06	0.0905133687175	1.33813485343
-2.07060386673e-06	0.0973129243163	1.33598031092
-2.06860386679e-06	0.103610052495	1.33548871788
-2.06660386684e-06	0.111010360492	1.3369410128
-2.0646038669e-06	0.1170070906	1.34086521762
-2.06260386696e-06	0.120300380488	1.34484530139
-2.06060386701e-06	0.122190050268	1.35004887419
-2.05860386707e-06	0.122157276971	1.35601571115
-2.05660386713e-06	0.117629718652	1.35857191438
-2.05460386718e-06	0.111463666878	1.35763020695
-2.05260386724e-06	0.107962871606	1.35718305753
-2.0506038673e-06	0.103042052539	1.35673145811
-2.04860386735e-06	0.101392673138	1.35271900047
-2.04660386741e-06	0.0951720375195	1.35515203248
-2.04460386746e-06	0.0908192209513	1.3530543305
-2.04260386752e-06	0.0863571832865	1.351636249
-2.04060386758e-06	0.083981425685	1.34986883838
-2.03860386763e-06	0.0823156629419	1.34852562812
-2.03660386769e-06	0.0830256669558	1.34613813183
-2.03460386775e-06	0.0861660307268	1.3475134906
-2.0326038678e-06	0.090846544155	1.34895804934
-2.03060386786e-06	0.0927908160911	1.34853886215
-2.02860386792e-06	0.0949098765728	1.34724807557
-2.02660386797e-06	0.0978645480506	1.34442803235
-2.02460386803e-06	0.0995193841572	1.34094546922
-2.02260386809e-06	0.100944835158	1.33763497861
-2.02060386814e-06	0.103522654661	1.33508839771
-2.0186038682e-06	0.106144192919	1.33342275184
-2.01660386826e-06	0.10829053693	1.3337015738
-2.01460386831e-06	0.109415616818	1.33087662406
-2.01260386837e-06	0.105079183083	1.33272663233
-2.01060386843e-06	0.106460948392	1.3357261031
-2.00860386848e-06	0.108487169593	1.3401441611
-2.00660386854e-06	0.106215197237	1.34447437881
-2.0046038686e-06	0.108377937815	1.34642255211
-2.00260386865e-06	0.107263800333	1.34581567232
