# centers	fwhm	diode_separation	diode_widths
2.442557442560000069e+00 2.000000000000000000e+01 0.000000000000000000e+00 4.000000000000000000e+00
9.228546036260000562e+01 4.400000000000000000e+01 9.240000000000000568e+01 8.000000000000000000e+00
1.715487039626599426e+02 3.630513155250000068e+01 1.695999999999999943e+02 8.000000000000000000e+00
2.407720904424205060e+02 3.509529603640000062e+01 2.388000000000000114e+02 8.000000000000000000e+00
4.917442145751310250e+02 3.487868076769999703e+01 4.931999999999999886e+02 8.000000000000000000e+00
9.477333891100440724e+02 3.527813451040000103e+01 9.503999999999999773e+02 8.000000000000000000e+00
