# centers	fwhm	diode_separation	diode_widths
1.401999999999999913e+00 5.883400000000000318e+01 0.000000000000000000e+00 7.200000000000000178e+00
1.740853788004116893e+02 8.086275934619999362e+01 1.884000000000000057e+02 6.400000000000000355e+00
4.752141509772156951e+02 7.400782548259999771e+01 4.816000000000000227e+02 8.000000000000000000e+00
6.423459616922384612e+02 5.883414967899999937e+01 6.523999999999999773e+02 6.400000000000000355e+00
